store,websites,attribute_set,type,has_options,sku,cost
admin,base,Default,simple,0,847244005565,13.99
admin,base,Default,simple,0,847244001437,13.99
admin,base,Default,simple,0,847244001352,13.99
admin,base,Default,simple,0,847244002151,7.49
admin,base,Default,simple,0,847244001246,7.49
admin,base,Default,simple,0,847244001420,7.49
admin,base,Default,simple,0,5287000553124,6.99
admin,base,Default,simple,0,10000175,12
admin,base,Default,simple,0,091037758101,79.8
admin,base,Default,simple,0,6291100731091,13.99
admin,base,Default,simple,0,6291100731299,13.99
admin,base,Default,simple,0,6291100731893,13.99
admin,base,Default,simple,0,6291100731077,13.99
admin,base,Default,simple,0,6291100731183,13.99
admin,base,Default,simple,0,6291100731206,13.99
admin,base,Default,simple,0,6291100731015,13.99
admin,base,Default,simple,0,6291100737390,13.99
admin,base,Default,simple,0,6291100731039,13.99
admin,base,Default,simple,0,6291100731107,13.99
admin,base,Default,simple,0,6291100732913,13.99
admin,base,Default,simple,0,6291100731145,13.99
admin,base,Default,simple,0,6291100733736,13.99
admin,base,Default,simple,0,6291100731312,13.99
admin,base,Default,simple,0,6291100736768,13.99
admin,base,Default,simple,0,6291100731022,13.99
admin,base,Default,simple,0,6291100731916,13.99
admin,base,Default,simple,0,6291100731213,13.99
admin,base,Default,simple,0,6291100731800,13.99
admin,base,Default,simple,0,6291100732906,13.99
admin,base,Default,simple,0,6291100731060,13.99
admin,base,Default,simple,0,6291100731923,8.25
admin,base,Default,simple,0,6291100732357,8.25
admin,base,Default,simple,0,6291100732616,8.25
admin,base,Default,simple,0,6291100732395,8.25
admin,base,Default,simple,0,6291100732494,8.25
admin,base,Default,simple,0,6291100732975,8.25
admin,base,Default,simple,0,6291100731848,8.25
admin,base,Default,simple,0,6291100732333,8.25
admin,base,Default,simple,0,6291100737673,8.25
admin,base,Default,simple,0,6291100732425,8.25
admin,base,Default,simple,0,6291100732463,8.25
admin,base,Default,simple,0,6291100732821,8.25
admin,base,Default,simple,0,6291100732340,8.25
admin,base,Default,simple,0,6291100731947,8.25
admin,base,Default,simple,0,6291100732470,8.25
admin,base,Default,simple,0,6291100732531,8.25
admin,base,Default,simple,0,6291100732586,8.25
admin,base,Default,simple,0,6291100736218,8.25
admin,base,Default,simple,0,6291100732371,8.25
admin,base,Default,simple,0,6291100737352,8.25
admin,base,Default,simple,0,6291100732388,8.25
admin,base,Default,simple,0,074300081472,1.75
admin,base,Default,simple,0,655708019115,7.5
admin,base,Default,simple,0,10000281,9.99
admin,base,Default,simple,0,10000274,9.99
admin,base,Default,simple,0,022600940500,7.59
admin,base,Default,simple,0,022600953210,8.99
admin,base,Default,simple,0,022600642039,7.59
admin,base,Default,simple,0,022600960034,8.99
admin,base,Default,simple,0,022600930501,8.99
admin,base,Default,simple,0,878114810248,15.99
admin,base,Default,simple,0,878114980248,15.99
admin,base,Default,simple,0,878114550243,15.99
admin,base,Default,simple,0,878114560242,15.99
admin,base,Default,simple,0,878114011058,15.99
admin,base,Default,simple,0,799745282023,4.75
admin,base,Default,simple,0,655708014455,5.99
admin,base,Default,simple,0,658331008273,5.99
admin,base,Default,simple,0,655708019061,7.5
admin,base,Default,simple,0,010624842078,7.49
admin,base,Default,simple,0,022600646037,8.99
admin,base,Default,simple,0,10000038,15.99
admin,base,Default,simple,0,022600642084,8.99
admin,base,Default,simple,0,312546051041,8.49
admin,base,Default,simple,0,312546050785,8.49
admin,base,Default,simple,0,312546050822,8.49
admin,base,Default,simple,0,312546050815,8.49
admin,base,Default,simple,0,312546050808,8.49
admin,base,Default,simple,0,312546050792,8.49
admin,base,Default,simple,0,312546000919,8.49
admin,base,Default,simple,0,042037104726,27.59
admin,base,Default,simple,0,042037104634,6.49
admin,base,Default,simple,0,799745281026,4.75
admin,base,Default,simple,0,018355102416,6.49
admin,base,Default,simple,0,018355202420,6.49
admin,base,Default,simple,0,018355402448,6.49
admin,base,Default,simple,0,602323800758,0.69
admin,base,Default,simple,0,118505122032,2.75
admin,base,Default,simple,0,018505122042,2.75
admin,base,Default,simple,0,018505122059,2.75
admin,base,Default,simple,0,018505122028,2.75
admin,base,Default,simple,0,118505122001,2.75
admin,base,Default,simple,0,118505122018,2.75
admin,base,Default,simple,0,018505123902,41
admin,base,Default,simple,0,118505122063,2.75
admin,base,Default,simple,0,083078123178,10.49
admin,base,Default,simple,0,083078123147,10.49
admin,base,Default,simple,0,083078123154,10.49
admin,base,Default,simple,0,083078123116,10.49
admin,base,Default,simple,0,10000014,25.99
admin,base,Default,simple,0,026948990241,2.29
admin,base,Default,simple,0,077885710614,0.66
admin,base,Default,simple,0,072728020028,1.39
admin,base,Default,simple,0,031146262441,0.87
admin,base,Default,simple,0,072728020042,1.39
admin,base,Default,simple,0,041789001253,0.39
admin,base,Default,simple,0,041789001055,0.39
admin,base,Default,simple,0,041789001154,0.39
admin,base,Default,simple,0,041789001116,0.39
admin,base,Default,simple,0,041789001017,0.39
admin,base,Default,simple,0,041789001444,0.39
admin,base,Default,simple,0,041789001420,0.39
admin,base,Default,simple,0,041789001437,0.39
admin,base,Default,simple,0,041789001499,0.39
admin,base,Default,simple,0,041789001215,0.39
admin,base,Default,simple,0,041789003059,0.83
admin,base,Default,simple,0,041789003035,0.83
admin,base,Default,simple,0,041789003011,0.83
admin,base,Default,simple,0,041789001222,0.39
admin,base,Default,simple,0,017082873859,15.25
admin,base,Default,simple,0,017082873866,15.25
admin,base,Default,simple,0,072728020035,1.39
admin,base,Default,simple,0,031146262748,0.87
admin,base,Default,simple,0,031146262984,0.87
admin,base,Default,simple,0,031146250301,0.87
admin,base,Default,simple,0,031146262571,0.87
admin,base,Default,simple,0,031146026128,0.87
admin,base,Default,simple,0,031146007592,0.87
admin,base,Default,simple,0,031146263257,0.87
admin,base,Default,simple,0,031146250103,0.87
admin,base,Default,simple,0,031146007622,0.87
