"store","websites","attribute_set","type","category_ids","sku","has_options","exclude_from_supply_needs","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","videoid","taxunit","unitinbox","product_barcode_","upccode","retailupc","boxincase","price","special_price","weight","msrp","manufacturer","status","is_recurring","visibility","tax_class_id","new","sale","mv_created_userid","mv_shipping_","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","mv_created_date","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_ordered_qty","stock_reserved_qty","stock_ordered_qty_for_valid_orders","shelf_location","is_favorite_warehouse","ideal_stock_level","use_config_ideal_stock_level","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","cost","default_supply_delay","outofstock_period_enabled","manual_supply_need_qty","waiting_for_delivery_qty","manual_supply_need_comments","manual_supply_need_date","outofstock_period_from","outofstock_period_to","supply_date"
"admin","base","Default","simple","6","719410740122","0","0","5 HR EXTRA  STRAW WM","","","/7/1/719410740122.png","/7/1/719410740122.png","/7/1/719410740122.png","5-hr-extra-straw-wm","5-hr-extra-straw-wm.html","","","","","","","","","","","","0","12","","","","18","18.9900","","1.0000","","","Enabled","","Catalog, Search","None","","","","","","","","","","","","","","","","126.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","5 HR EXTRA  STRAW WM","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","6","719410700126","0","0","5 HR EXTRA BERRY","","","/7/1/719410700126.png","/7/1/719410700126.png","/7/1/719410700126.png","5-hr-extra-berry","5-hr-extra-berry.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","","0","12","","","","18","19.9900","18.9900","1.0000","","","Enabled","No","Catalog, Search","None","No","Yes","","","","","","","2015-12-01 00:00:00","2015-12-31 00:00:00","","","","","","-6.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-05 23:04:05","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","5 HR EXTRA BERRY","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","6","719410720124","0","0","5 HR EXTRA GRAPE","","","/7/1/719410720124.png","/7/1/719410720124.png","/7/1/719410720124.png","5-hr-extra-grape","5-hr-extra-grape.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","","0","12","","","","18","19.9900","18.9900","1.0000","","","Enabled","No","Catalog, Search","None","No","Yes","","","","","","","2015-12-01 00:00:00","2015-12-31 00:00:00","","","","","","54.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","5 HR EXTRA GRAPE","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","6","719410750121","0","0","5 HR EXTRA PEACH MANGO","","","/7/1/719410750121.png","/7/1/719410750121.png","/7/1/719410750121.png","5-hr-extra-peach-mango","5-hr-extra-peach-mango.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","","0","12","","","","18","19.9900","18.9900","1.0000","","","Enabled","No","Catalog, Search","None","No","Yes","","","","","","","2015-12-01 00:00:00","2015-12-31 00:00:00","","","","","","-3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-05 23:02:55","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","5 HR EXTRA PEACH MANGO","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","6","719410200121","0","0","5 HR GRAPE","","","/7/1/719410200121.png","/7/1/719410200121.png","/7/1/719410200121.png","5-hr-grape","5-hr-grape.html","","","","","","","","","","","","0","12","","","","18","16.2900","","1.0000","","","Enabled","","Catalog, Search","None","","","","","","","","","","","","","","","","162.0000","0.0000","1","0","1","0","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","3","3","3","","0","","1","0","1","5 HR GRAPE","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","6","719410300128","0","0","5 HR ORANGE","","","/7/1/719410300128.png","/7/1/719410300128.png","/7/1/719410300128.png","5-hr-orange","5-hr-orange.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","","0","12","","","","18","17.9900","16.2900","1.0000","","","Enabled","No","Catalog, Search","None","No","Yes","","","","","","","2015-12-01 00:00:00","2015-12-31 00:00:00","","","","","","90.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","5 HR ORANGE","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","6","719410800123","0","0","5 HR POMEGRANATE","","","/7/1/719410800123.png","/7/1/719410800123.png","/7/1/719410800123.png","5-hr-pomegranate","5-hr-pomegranate.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","","0","12","","","","18","17.9900","16.2900","1.0000","","","Enabled","No","Catalog, Search","None","No","Yes","","","","","","","2015-12-01 00:00:00","2015-12-31 00:00:00","","","","","","-2.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-05 23:00:15","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","5 HR POMEGRANATE","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","7","655708017821","0","0","ADVIL 25CT","","","/6/5/655708017821.png","/6/5/655708017821.png","/6/5/655708017821.png","advil-25ct","advil-25ct.html","","","","","","","","","","","","0","25","","","","20","9.9900","","1.0000","","","Enabled","","Catalog, Search","None","","","","","","","","","","","","","","","","20.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","ADVIL 25CT","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","39","717519008822","0","0","AL CAPONE JAMAICAN BLAZE","","","/7/1/717519008822.png","/7/1/717519008822.png","/7/1/717519008822.png","al-capone-jamaican-blaze","al-capone-jamaican-blaze.html","","","","","","","","","","","","40","10","","","","24","55.9900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","-1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-06 05:25:05","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","AL CAPONE JAMAICAN BLAZE","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","39","717519001076","0","0","AL CAPONE SWEET 2PK TOWER COGNAC","","","/7/1/717519001076.png","/7/1/717519001076.png","/7/1/717519001076.png","al-capone-sweet-2pk-tower-cognac","al-capone-sweet-2pk-tower-cognac.html","","","","","","","","","","","","40","60","","","","8","69.9900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","24.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","AL CAPONE SWEET 2PK TOWER COGNAC","0","simple","","","","","","","","","","","",""
